Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
524	24 Jun 1719	25 Dec 1719	0	26		not stated						26										
529	25 Dec 1719	25 Mar 1720	0									0										
530	25 Dec 1719	25 Mar 1720	1									0										
532	25 Mar 1720	25 Jun 1720	0	148.5								148.5										
533	25 Mar 1720	25 Jun 1720	1	35	h							35	35	35								
535	25 Mar 1720	25 Jun 1720	0									0										
536	25 Dec 1719	25 Mar 1720	0									0										
538	21 Sep 1721	25 Mar 1722	1									0										
546	29 Sep 1721	25 Mar 1722	0	53.15.0																		
575	1 Feb 1727	24 Jun 1727	1	1240	h							1240	1240	1240								
579	25 Jun 1728	29 Sep 1728	1	25	h							25	25	25								
582	29 Sep 1728	25 Dec 1728	1	15	h							15	15	15								
585	25 Dec 1728	25 Mar 1729	1									0	0	0								
589	25 Mar 1729	24 Jun 1729	1	30	h							30	30	30								
593	25 Jun 1729	29 Sep 1729	1	8	h							8	8	8								
597	29 Sep 1729	25 Dec 1729	1	50	h							50	50	50								
601	25 Dec 1729	25 Mar 1730	1	40	curacao							40	275	193	82							
				38	h							38										
				27	Rio de la Hacha							27										
				35	h							35										
				80	h							80										
				13	Spanish Coast							13										
				40	h							40										
				2	New Providence							2										
607	29 Sep 1742	25 Dec 1742	1	155	h		cont. img611					155	155	155								
609	29 Sep 1742	25 Dec 1742	0	169			cont. img615					169										
621	1 Oct 1743	20 Jun 1747	0	10			to Boston					10										
				6								6										
				12			to Virginia					12										
				10								10										
				20								20										
				6								6										
				9								9										
				10								10										
				16			to Boston					16										
				5			+ 520 Billets					5										
				3.5			to Sp. Coast img628					3.5										
				2								2										
				10			to Boston; stopped noting hereafter; img632					10										
				39								39										
				33								33										
				1								1										
				7			est					7										
				0.5								0.5										
				6								6										
				6								6										
				23								23										
				8								8										
				6.5								6.5										
				4								4										
				6								6										
				15								15										
				10								10										
				3								3										
				10								10										
				4								4										
				10								10										
				10								10										
669	10 May 1747	18 Jun 1747	1									0										
671	25 Mar 1743	29 Sep 1743	1	90	h							90	309	309								
				75	h							75										
				144	h							144										
680	29 Sep 1743	25 Mar 1744	1	40	Ratan							40	86	35	51							
				11	Mosquito C.							11										
				35	h							35										
692	25 Mar 1744	29 Sep 1744	1	40	Ruatan							40	42		42							
				2	Sp. Coast							2										
700	1 Oct 1744	25 Dec 1744	1	27	Mosquito C.							27	27		27							
705	25 Dec 1744	25 Mar 1745	1									0										
709	25 Mar 1745	24 Jun 1747	1	60	Santa Cruz							60	116		116							
				10	Rattan							10										
				15	Rattan							15										
				7	Sp. Coast							7										
				24	Rattan							24										
745	29 Sep 1745	25 Mar 1746	0				Stopped recording exports					0										
747	25 Sep 1745	25 Mar 1746	1									0										
759	24 Jun 1747	25 Mar 1748	1									0										
763	25 Jun 1747	25 Sep 1747	1									0										
778	25 Dec 1747	25 Mar 1748	1				stopped at 782					0										


Cust Jamaica-1: Table 1
	Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			Ratio
	29 Sep 1683	25 Mar 1684	25w 3d					300	0	300	0			1
	29 Sep 1685	25 Mar 1686	25w 2d		40	40		40	0	40	0			1
	25 Mar 1686	24 Jun 1686	13w					42	42	0	0			0
