Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
8 Oct 1733	Pre 106	[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep].	Weekly Rehearsal (106)				"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8"	"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8). Weekly Rehearsal (106)"	"[Crow; Rhode-Island; St. Christopher's; Deck; Gale; Wind; Sloop Horses; Sheep]. (1733, October 8). Weekly Rehearsal (106), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBE17D479427B0%40EANX-108B7D3BD8501F00%402354306-108B7D3C03EA4220%401-108B7D3C9C537ED0%40%255BCrow%253B%2BRhode-Island%253B%2BSt.%2BChristopher%2527s%253B%2BDeck%253B%2BGale%253B%2BWind%253B%2BSloop%2BHorses%253B%2BSheep%255D."	
24 Feb 1734	Pre LXVIII	"Newport, Jan. 1734-5."	New-York Weekly Journal (LXVIII)	Sp seizures			"Newport, Jan. 1734-5. (1734, February 24"	"Newport, Jan. 1734-5. (1734, February 24). New-York Weekly Journal (LXVIII)"	"Newport, Jan. 1734-5. (1734, February 24). New-York Weekly Journal (LXVIII), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A4990A846547%402354445-1062A4994FEC40B0%403-1062A499C3EB84FF%40Newport%252C%2BJan.%2B1734-5."	
11 Nov 1734	Pre LIV	"Foreign Affairs. Boston, October 14."	New-York Weekly Journal (LIV)	Sp seizures			"Foreign Affairs. Boston, October 14. (1734, November 11"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV)"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A48EAB4E681E%402354705-1062A48ECB23C94D%402-1062A48F083DB909%40Foreign%2BAffairs.%2BBoston%252C%2BOctober%2B14."	
11 Nov 1734	Pre LIV	"Foreign Affairs. Boston, October 14."	New-York Weekly Journal (LIV)	 			"Foreign Affairs. Boston, October 14. (1734, November 11"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV)"	"Foreign Affairs. Boston, October 14. (1734, November 11). New-York Weekly Journal (LIV), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A48EAB4E681E%402354705-1062A48ECB23C94D%402-1062A48F083DB909%40Foreign%2BAffairs.%2BBoston%252C%2BOctober%2B14."	
16 Jan 1735	Bur sn	News	General Evening Post	Sp seizures ?					"News. (January 16, 1735 - January 18, 1735). General Evening Post. https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000431098/BBCN?u=camb55135&sid=BBCN&xid=cef063c0"	
24 Feb 1735	Pre 790	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734."	Boston Gazette (790)				"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24"	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24). Boston Gazette (790)"	"Extract of a Letter from Charlestown, in South-Carolina, Dated January 18, 1734. (1735, February 24). Boston Gazette (790), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD2E61FB47A0%40EANX-1046E004E194B0A0%402354810-1046E005281A6244%403-1046E0059D1ADACA%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BCharlestown%252C%2Bin%2BSouth-Carolina%252C%2BDated%2BJanuary%2B18%252C%2B1734."	
22 Dec 1735	Pre CXI	"Boston, December 15."	New-York Weekly Journal (CXI)	Sp seizures			"Boston, December 15. (1735, December 22"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI)"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A3DFCC933A6C%402355111-1062A3DFF5BD1D5E%402-1062A3E0441FEFD5%40Boston%252C%2BDecember%2B15."	
22 Dec 1735	Pre CXI	"Boston, December 15."	New-York Weekly Journal (CXI)				"Boston, December 15. (1735, December 22"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI)"	"Boston, December 15. (1735, December 22). New-York Weekly Journal (CXI), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD36DBC06A78%40EANX-1062A3DFCC933A6C%402355111-1062A3DFF5BD1D5E%402-1062A3E0441FEFD5%40Boston%252C%2BDecember%2B15."	
15 Jun 1736	Bur sn	"""News."""	London Evening Post	Sp seizures				"""News."" London Evening Post, June 12, 1736 - June 15, 1736"	"""News."" London Evening Post, June 12, 1736 - June 15, 1736. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000636148/BBCN?u=camb55135&sid=BBCN&xid=5f587183. Accessed 16 Feb. 2021."	
17 Aug 1736	Pre 489	"New-York, August 2."	New-England Weekly Journal (489)	Sp assault ?			"New-York, August 2. (1736, August 17"	"New-York, August 2. (1736, August 17). New-England Weekly Journal (489)"	"New-York, August 2. (1736, August 17). New-England Weekly Journal (489), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108C1BB941096180%40EANX-108C9CFB5DD42F48%402355350-108C9CFB7A7D7ED8%400-108C9CFC012096E8%40New-York%252C%2BAugust%2B2."	
