Series T 1—781 / Foreign markets.
ID	NO	START 1	US GDP	CF 13	UK GDO	CF 14	END	
T 701	701	1980	xnp	xnp	xnp	xnp	###	
T 703	703	1981	xnp	xnp	xnp	xnp	###	
T 705	705	1982	xnp	xnp	xnp	xnp	###	
T 707	707	1983	xnp	xnp	xnp	xnp	###	
T 709	709	1984	xnp	xnp	xnp	xnp	###	
T 711	711	1985	xnp	xnp	xnp	xnp	###	
T 713	713	1986	xnp	xnp	xnp	xnp	###	
T 715	715	1987	xnp	xnp	xnp	xnp	###	
T 717	717	1988	xnp	xnp	xnp	xnp	###	
T 719	719	1989	xnp	xnp	xnp	xnp	###	
T 721	721	1990	xnp	xnp	xnp	xnp	###	
T 723	723	1991	xnp	xnp	xnp	xnp	###	
T 725	725	1992	xnp	xnp	xnp	xnp	###	
T 727	727	1993	xnp	xnp	xnp	xnp	###	
T 729	729	1994	xnp	xnp	xnp	xnp	###	
T 731	731	1995	xnp	xnp	xnp	xnp	###	
T 733	733	1996	xnp	xnp	xnp	xnp	###	
T 735	735	1997	xnp	xnp	xnp	xnp	###	
T 737	737	1998	xnp	xnp	xnp	xnp	###	
T 739	739	1999	xnp	xnp	xnp	xnp	###	
T 741	741	2000	xnp	xnp	xnp	xnp	###	
T 743	743	2001	xnp	xnp	xnp	xnp	###	
T 745	745	2002	xnp	xnp	xnp	xnp	###	
T 747	747	2003	xnp	xnp	xnp	xnp	###	
T 749	749	2004	xnp	xnp	xnp	xnp	###	
T 751	751	2005	xnp	xnp	xnp	xnp	###	
T 753	753	2006	xnp	xnp	xnp	xnp	###	
T 755	755	2007	xnp	xnp	xnp	xnp	###	
T 757	757	2008	xnp	xnp	xnp	xnp	###	
T 759	759	2009	xnp	xnp	xnp	xnp	###	
T 761	761	2010	xnp	xnp	xnp	xnp	###	
T 763	763	2011	xnp	xnp	xnp	xnp	###	
T 765	765	2012	xnp	xnp	xnp	xnp	###	
T 767	767	2013	xnp	xnp	xnp	xnp	###	
T 769	769	2014	xnp	xnp	xnp	xnp	###	
T 771	771	2015	xnp	xnp	xnp	xnp	###	
T 773	773	2016	xnp	xnp	xnp	xnp	###	
T 775	775	2017	xnp	xnp	xnp	xnp	###	
T 777	777	2018	xnp	xnp	xnp	xnp	###	
T 779	779	2019	xnp	xnp	xnp	xnp	###	
T 781	781	2020	xnp	xnp	xnp	xnp	###	
