Storms: Storms w/in 150 nautical miles of Belize.
Name	Start	Parliament	Rainfall	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Deaths	Max wind	Min press	Max cat	Max cat w/in	Data	Loss	Loss / GDP unit	GDP Prev yr	Ratio 00	Loss 2020 BZD	Deaths	Pop	Ratio 000	Impact sx	Impact f	Cost f	Impact c
										4	93.5 									
										4	93.5 									
										4	108.5 									
										5	134.8 									
										5	157.1 									
										5	182.0 									
										5	197.1 									
										5	197.1 									
										5	223.5 									
										6	263.7 									
										6	295.0 									
										6	320.4 									
										6	335.1 									
										6	335.1 									
										6	351.8 									
										7	373.2 									
										7	385.9 									
										7	402.0 									
										7	421.7 									
										7	421.7 									
										7	454.5 									
										8	497.5 									
										8	526.7 									
										8	546.4 									
										8	555.1 									
										8	555.1 									
										8	568.5 									
										9	588.2 									
										9	602.4 									
										9	621.3 									
										9	642.6 									
										9	642.6 									
										9	652.5 									
										10	671.8 									
										10	683.7 									
										10	695.1 									
										10	715.2 									
										10										
										11										
										11										
										11										
										11										
																				
										11										
										12										
										12										
										12										
										12										

Storms < 4: Storms w/in 0 nautical miles of Belize.
Name	Start	Parliament	Max wind	Min press	Max cat w/in	Data	Population	Spending	Trade		Loss 2.98	Loss 1.49	Loss / GDP unit	GDP Prev yr	Ratio 00	USD CPI	Loss 2020 BZD 2.98	Loss 2020 BZD 1.49		Pop	Ratio 00000	Impact sx	Impact f	Cost f	Impact c
FRANCELIA	29 Aug 1969	16	100	973	3						"1,337,992.29642213"	668996.1482111		44910179.6407186	2.98	34.8	16231046.97074	8115523.48537	2705174.49512333						
U	5 Oct 1892	Council	85	-1	2										2.98										
U	5 Nov 1942	9	95	-1	2						"546,775.23483554"	273387.61741777		18352702.0934453	2.98	14.7	14331475.3	7165737.6	2388579.2						
FIFI	14 Sep 1974	17	95	971	2	1					"4,000,000"		USD	78343558.2822086	5.11		0					200*			
ORLENE	21 Sep 1974	17	90	-1	2						"2,334,060.52468456"	1167030.26234228		78343558.2822086	2.98	44.4	21890338.65509	10945169.327545	3648389.77584833						
RICHARD	19 Oct 2010	24	85	977	2	1					"70,476,982"		BZD	"2,634,622,616.7 "	2.68		1			314655	0.00	890	1128		
U	26 Aug 1864	3	70	-1	1										2.98										
