"ISSN";"Title";"Geographical sphere";"Comprises"
"2171-0597";"El Arte en España (Madrid. 1862)";"Madrid";"Del 01/01/1862 al 01/01/1869"
"2171-1666";"Arte musical (Madrid)";"Madrid";"Del 15/01/1915 al 31/03/1918. Del n. 1 al n. 78"
"2173-0954";"Arte y cinematografía";"Barcelona";"Del n. 357 (1/1931) al n. 380 (12/1932) y 1935"
"2172-0711";"Arte y letras (Madrid)";"Madrid";"Del 6/1/1901 al 4/12/1901"
"2173-4437";"Arte y letras (Teruel)";"Teruel";"Del 4/1933 al 11/1933. Del n. 4 al n. 11"
"2444-2623";"Arte y sport";"Madrid";"Del n. 1 (10/10/1903) al n. 54 (30/04/1905)"
"2171-2751";"Artículos remitidos a los editores del Chismoso";"Murcia";"Del 07/04/1822 al 21/04/1822. Del n. 1 al n. 3"
"1889-917X";"El Artista (Madrid. 1835)";"Madrid";"Del 05/01/1835 al 01/07/1836"
"1887-3677";"El Artista (Madrid. 1866)";"Madrid";"Del 07/06/1866 al 30/12/1868"
"2173-9935";"Arxiu de tradicions populars";"Barcelona";"Del 1928 al 1935. Del n. 1 al n. 7"
"2172-9514";"As (Madrid. 1932)";"Madrid";"Del n. 1 (7/6/1932) al n. 213 (13/7/1936)"
"1888-6671";"As (Madrid. 1967)";"Madrid";"De 2006 a 2009. 2014-"
"1886-127X";"La Asamblea del ejército";"Madrid";"Del t. 1 (1856) al t. 5 (1859)"
"1886-1288";"La Asamblea del ejército y armada";"Madrid";"Del t. 1 (1861) al t. 15 (1867)"
"2444-0949";"As color (1971)";"Madrid";"Del 25/5/1971 al 19/1/1982"
"2171-3375";"Asta regia";"Cádiz";"Del 26/01/1880 al 18/06/1883. Del n. 1 al n. 165"
"9975-7192";"Astrolabio americano";"México";"1719 y 1735"
"2171-9462";"A sus puestos!";"España";"n. 6 (10/1938)"
"2173-2493";"La Atalaya (Pozuelo de Alarcón. 1923)";"Madrid";"Del 15/7/1923 al 30/12/1923. Del n. 1 al n. 27"
"1576-9739";"Atalaya de La Mancha en Madrid";"Madrid";"Del 4/07/1813 al 26/04/1815"
"2486-8078";"Atalaya de La Mancha en Madrid (Reimp. en Sevilla)";"Sevilla";"Del 12/5/1814 al 1/6/1814"
"2171-0600";"Atalaya patriótico de Málaga";"Málaga";"Del 11/02/1809 al 01/07/1809"
"2173-447X";"Atenea (Madrid. 1916)";"Madrid";"1916"
"2173-142X";"El Ateneo (Madrid. 1833)";"Madrid";"Del 12/1833 al 15/05/1834"
"2481-9921";"El Ateneo palentino";"Palencia";"Del 1/1/1877 al 15/4/1879"
"2172-9522";"Atlántico (Madrid)";"Madrid";"Del n. 1 (5/6/1929) al n. 12 (16/3/1930)"
"1134-797X";"Atlántico diario";"Pontevedra";"De 1999 a 2007"
"2171-0619";"La Aureola (Cádiz)";"Cádiz";"Del 07/05/1840 al 28/05/1840"
"1578-2956";"La Aurora (Madrid)";"Madrid";"Del 1851 al 1853"
"2660-1486";"La Aurora (Manacor)";"Baleares";"29/10/1910"
"2660-2407";"La Aurora (Plasencia)";"Cáceres";"7/10/1911"
"1578-8121";"La Aurora (Zaragoza)";"Zaragoza";"Del 1/9/1839 al 27/12/1840"
"2172-9549";"La Aurora de la vida";"Madrid";"Del n. 1 (10/11/1860) al n. 49 (31/12/1861)"
"2171-0627";"La Aurora del comercio";"Cádiz";"02/1822"
"2218-7707";"Aurora extraordinaria";"Cuba";"n. 577 (8/3/1809)"
"2660-3241";"La Aurora minera";"Madrid";"Del 2/1/1851 al 12/3/1854"
"2565-0238";"Aurora social (Barcelona)";"Barcelona";"12/9/1908"
"2173-2795";"Autodatos (Madrid)";"Madrid";"Del 2/1934 al 12/1935. Del n. 1 al n. 23"
"2172-5365";"El Autógrafo (Madrid)";"Madrid";"Del n. 4 (2/2/1873) al n. 59 (26/3/1874)"
"2174-9779";"El Auxiliar de la ingeniería y arquitectura";"Madrid";"Del n. 1 (25/4/1921) al n. 364 (6/1936)"
"2340-0897";"Avance (Gijón)";"Asturias";"Del 1/6/1937 al 30/7/1937"
"2172-1149";"¡Avante! (Madrid. 1927)";"Madrid";"Del 22/12/1927 al 22/10/1928"
"2173-3295";"Avante (Madrid. 1935)";"Madrid";"Del 1/1935 al 7/1936. Del n. 1 al n. 8"
"2171-6048";"El Averiguador (Madrid)";"Madrid";"Del n. 1 (1/12/1867) al n. 48 (31/12/1872)"
