		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
TJK	Tajikistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
TZA	Tanzania	0.50	0.30			30	70	30		0.30	0.70	0.30						 
THA	Thailand 	0.40	0.50			30	50	50		0.30	0.50	0.50						
BHS	The Bahamas	0.60	0.90			50	70	90		0.50	0.70	0.90						
GMB	The Gambia	0.50	0.30			50	50	30		0.50	0.50	0.30						
NLD	The Netherlands	0.90	0.90			90	90	90		0.90	0.90	0.90						
PHL	The Philippines	0.30	0.30			30	30	30		0.30	0.30	0.30						
TGO	Togo	0.30	0.30			30	30	30		0.30	0.30	0.30						
TTO	Trinidad and Tobago	0.70	0.70			70	70	70		0.70	0.70	0.70						
TUN	Tunisia	0.30	0.50			30	30	50		0.30	0.30	0.50						
TUR	Turkey	0.40	0.50			50	30	50		0.50	0.30	0.50						
TKM	Turkmenistan	0.20	0.10			30	10	10		0.30	0.10	0.10						
UGA	Uganda	0.60	0.30			50	70	30		0.50	0.70	0.30						
UKR	Ukraine	0.40	0.30			30	50	30		0.30	0.50	0.30						
ARE	United Arab Emirates	0.40	0.50			50	30	50		0.50	0.30	0.50						
GBR	United Kingdom	0.90	0.90			90	90	90		0.90	0.90	0.90						
USA	United States	0.80	0.90			70	90	90		0.70	0.90	0.90						
URY	Uruguay 	0.60	0.70			70	50	70		0.70	0.50	0.70						
UZB	Uzbekistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
VEN	Venezuela 	0.20	0.30			10	30	30		0.10	0.30	0.30						
VNM	Vietnam	0.30	0.10			30	30	10		0.30	0.30	0.10						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.50	0.50			50	50	50		0.50	0.50	0.50						
ZWE	Zimbabwe	0.10	0.10			10	10	10		0.10	0.10	0.10						


WGI2003: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
					Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER11RQ	HER11RL															
ALB	Albania	0.60	0.30			70	50	30		0.70	0.50	0.30						
DZA	Algeria	0.50	0.30			70	30	30		0.70	0.30	0.30						
ARG	Argentina	0.40	0.30			50	30	30		0.50	0.30	0.30						
ARM	Armenia	0.80	0.50		 	70	90	50		0.70	0.90	0.50						
AUS	Australia	0.80	0.90			70	90	90		0.70	0.90	0.90						
AUT	Austria	0.70	0.90			70	70	90		0.70	0.70	0.90						
AZE	Azerbaijan	0.30	0.30			30	30	30		0.30	0.30	0.30						
BHR	Bahrain	0.65	0.60			50	80	60		0.50	0.80	0.60						
BGD	Bangladesh 	0.40	0.30			50	30	30		0.50	0.30	0.30						
BRB	Barbados	0.60	0.90			50	70	90		0.50	0.70	0.90						
BLR	Belarus	0.30	0.30			30	30	30		0.30	0.30	0.30						
BEL	Belgium	0.80	0.90			90	70	90		0.90	0.70	0.90						
BLZ	Belize	0.50	0.50			50	50	50		0.50	0.50	0.50						
BEN	Benin	0.50	0.30			50	50	30		0.50	0.50	0.30						
BOL	Bolivia	0.80	0.30		 	90	70	30		0.90	0.70	0.30						
BIH	Bosnia and Herzegovina	0.50	0.10		 	30	70	10		0.30	0.70	0.10						
BWA	Botswana	0.70	0.70			70	70	70		0.70	0.70	0.70						
BRA	Brazil	0.50	0.50			50	50	50		0.50	0.50	0.50						
BGR	Bulgaria	0.60	0.30			50	70	30		0.50	0.70	0.30						
BFA	Burkina Faso	0.50	0.30			50	50	30		0.50	0.50	0.30						
MMR	Burma	0.20	0.10			10	30	10		0.10	0.30	0.10						
KHM	Cambodia	0.60	0.30			50	70	30		0.50	0.70	0.30						
CMR	Cameroon	0.50	0.30			50	50	30		0.50	0.50	0.30						
CAN	Canada	0.60	0.90			50	70	90		0.50	0.70	0.90						
CPV	Cape Verde	0.50	0.50			50	50	50		0.50	0.50	0.50						
CAF	Central African Republic	0.60	0.30			70	50	30		0.70	0.50	0.30						
TCD	Chad	0.60	0.30			50	70	30		0.50	0.70	0.30						
CHL	Chile	0.70	0.90			70	70	90		0.70	0.70	0.90						
CHN	China	0.30	0.30			30	30	30		0.30	0.30	0.30						
COL	Colombia	0.70	0.30			70	70	30		0.70	0.70	0.30						
CRI	Costa Rica 	0.60	0.50			70	50	50		0.70	0.50	0.50						
CIV	C̫te d'Ivoire 	0.60	0.30			50	70	30		0.50	0.70	0.30						
HRV	Croatia	0.60	0.30			50	70	30		0.50	0.70	0.30						
CUB	Cuba	0.20	0.10			30	10	10		0.30	0.10	0.10						
CYP	Cyprus	0.60	0.90			50	70	90		0.50	0.70	0.90						
CZE	Czech Republic	0.80	0.70			70	90	70		0.70	0.90	0.70						
DNK	Denmark	0.80	0.90			70	90	90		0.70	0.90	0.90						
DJI	Djibouti	0.50	0.30			50	50	30		0.50	0.50	0.30						
DOM	Dominican Republic	0.40	0.30			50	30	30		0.50	0.30	0.30						
ECU	Ecuador	0.50	0.30			50	50	30		0.50	0.50	0.30						
EGY	Egypt	0.40	0.50			50	30	50		0.50	0.30	0.50						
SLV	El Salvador 	0.70	0.50			70	70	50		0.70	0.70	0.50						
GNQ	Equatorial Guinea	0.40	0.30			50	30	30		0.50	0.30	0.30						
EST	Estonia	0.90	0.70			90	90	70		0.90	0.90	0.70						
ETH	Ethiopia	0.40	0.30			50	30	30		0.50	0.30	0.30						
FJI	Fiji	0.50	0.30			30	70	30		0.30	0.70	0.30						
FIN	Finland	0.70	0.90			70	70	90		0.70	0.70	0.90						
FRA	France	0.60	0.70			70	50	70		0.70	0.50	0.70						
GAB	Gabon	0.50	0.50			50	50	50		0.50	0.50	0.50						
GEO	Georgia	0.50	0.30			50	50	30		0.50	0.50	0.30						
DEU	Germany	0.70	0.90			90	50	90		0.90	0.50	0.90						
GHA	Ghana	0.50	0.50			50	50	50		0.50	0.50	0.50						
GRC	Greece	0.50	0.50			50	50	50		0.50	0.50	0.50						
GTM	Guatemala 	0.50	0.30			30	70	30		0.30	0.70	0.30						
GIN	Guinea	0.50	0.30			30	70	30		0.30	0.70	0.30						
GNB	Guinea-Bissau	0.30	0.10			50	10	10		0.50	0.10	0.10						
GUY	Guyana	0.60	0.50			50	70	50		0.50	0.70	0.50						
HTI	Haiti	0.40	0.10			30	50	10		0.30	0.50	0.10						
HND	Honduras 	0.40	0.30			30	50	30		0.30	0.50	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.70	0.70			70	70	70		0.70	0.70	0.70						
ISL	Iceland	0.60	0.90			70	50	90		0.70	0.50	0.90						
IND	India	0.40	0.50			50	30	50		0.50	0.30	0.50						
IDN	Indonesia	0.30	0.30			30	30	30		0.30	0.30	0.30						
IRN	Iran	0.20	0.10			30	10	10		0.30	0.10	0.10						
IRL	Ireland	0.90	0.90			90	90	90		0.90	0.90	0.90						
ISR	Israel	0.60	0.70			70	50	70		0.70	0.50	0.70						
ITA	Italy	0.70	0.70			70	70	70		0.70	0.70	0.70						
JAM	Jamaica 	0.80	0.50			90	70	50		0.90	0.70	0.50						
JPN	Japan	0.40	0.70			50	30	70		0.50	0.30	0.70						
JOR	Jordan	0.70	0.50			70	70	50		0.70	0.70	0.50						
KAZ	Kazakhstan	0.20	0.30			10	30	30		0.10	0.30	0.30						
KEN	Kenya	0.50	0.50			50	50	50		0.50	0.50	0.50						
KWT	Kuwait	0.40	0.50			30	50	50		0.30	0.50	0.50						
KGZ	Kyrgyz Republic 	0.50	0.30			50	50	30		0.50	0.50	0.30						
LAO	Laos	0.20	0.10			30	10	10		0.30	0.10	0.10						
LVA	Latvia	0.70	0.50			70	70	50		0.70	0.70	0.50						
LBN	Lebanon	0.60	0.30			50	70	30		0.50	0.70	0.30						
LSO	Lesotho	0.40	0.50			30	50	50		0.30	0.50	0.50						
LBY	Libya	0.10	0.10			10	10	10		0.10	0.10	0.10						
LTU	Lithuania	0.80	0.50			70	90	50		0.70	0.90	0.50						
LUX	Luxembourg	0.90	0.90			90	90	90		0.90	0.90	0.90						
MKD	Macedonia	0.60	0.30			50	70	30		0.50	0.70	0.30						
MDG	Madagascar	0.50	0.50			50	50	50		0.50	0.50	0.50						
MWI	Malawi	0.40	0.50			50	30	50		0.50	0.30	0.50						
MYS	Malaysia 	0.30	0.50			30	30	50		0.30	0.30	0.50						
MLI	Mali	0.40	0.50			50	30	50		0.50	0.30	0.50						
MLT	Malta	0.60	0.90			50	70	90		0.50	0.70	0.90						
MRT	Mauritania	0.70	0.30			70	70	30		0.70	0.70	0.30						
MUS	Mauritius	0.60	0.70			50	70	70		0.50	0.70	0.70						
MEX	Mexico	0.60	0.50			50	70	50		0.50	0.70	0.50						
MDA	Moldova	0.40	0.50			30	50	50		0.30	0.50	0.50						
MNG	Mongolia	0.50	0.50			50	50	50		0.50	0.50	0.50						
MAR	Morocco	0.60	0.30			70	50	30		0.70	0.50	0.30						
MOZ	Mozambique 	0.70	0.30			70	70	30		0.70	0.70	0.30						
NAM	Namibia	0.50	0.70			50	50	70		0.50	0.50	0.70						
NPL	Nepal	0.30	0.30			30	30	30		0.30	0.30	0.30						
NZL	New Zealand	0.90	0.90			90	90	90		0.90	0.90	0.90						
NIC	Nicaragua 	0.60	0.30			50	70	30		0.50	0.70	0.30						
NER	Niger	0.50	0.30			50	50	30		0.50	0.50	0.30						
NGA	Nigeria	0.40	0.30			50	30	30		0.50	0.30	0.30						
PRK	North Korea	0.10	0.10			10	10	10		0.10	0.10	0.10						
NOR	Norway	0.50	0.90			50	50	90		0.50	0.50	0.90						
OMN	Oman	0.50	0.50			50	50	50		0.50	0.50	0.50						
PAK	Pakistan 	0.40	0.30			50	30	30		0.50	0.30	0.30						
PAN	Panama 	0.70	0.30			70	70	30		0.70	0.70	0.30						
PRY	Paraguay 	0.50	0.30			50	50	30		0.50	0.50	0.30						
PER	Peru	0.70	0.30			70	70	30		0.70	0.70	0.30						
POL	Poland	0.60	0.50			50	70	50		0.50	0.70	0.50						
PRT	Portugal	0.60	0.70			70	50	70		0.70	0.50	0.70						
QAT	Qatar	0.50	0.50			50	50	50		0.50	0.50	0.50						
COG	Republic of Congo 	0.30	0.30			30	30	30		0.30	0.30	0.30						
ROM	Romania	0.40	0.30			30	50	30		0.30	0.50	0.30						
RUS	Russia	0.40	0.30			50	30	30		0.50	0.30	0.30						
RWA	Rwanda	0.40	0.30			30	50	30		0.30	0.50	0.30						
SAU	Saudi Arabia	0.30	0.50			30	30	50		0.30	0.30	0.50						
SEN	Senegal	0.50	0.50			50	50	50		0.50	0.50	0.50						
SLE	Sierra Leone	0.30	0.10			30	30	10		0.30	0.30	0.10						
SGP	Singapore	0.80	0.90			90	70	90		0.90	0.70	0.90						
SVK	Slovakia	0.80	0.50			70	90	50		0.70	0.90	0.50						
SVN	Slovenia	0.50	0.50			50	50	50		0.50	0.50	0.50						
ZAF	South Africa	0.70	0.50			70	70	50		0.70	0.70	0.50						
KOR	South Korea	0.60	0.70			70	50	70		0.70	0.50	0.70						
ESP	Spain	0.70	0.70			70	70	70		0.70	0.70	0.70						
LKA	Sri Lanka	0.50	0.50			50	50	50		0.50	0.50	0.50						
SUR	Suriname	0.40	0.50			50	30	50		0.50	0.30	0.50						
SWZ	Swaziland	0.50	0.50			50	50	50		0.50	0.50	0.50						
SWE	Sweden	0.90	0.90			90	90	90		0.90	0.90	0.90						
CHE	Switzerland	0.80	0.90			70	90	90		0.70	0.90	0.90						
SYR	Syria	0.20	0.30			30	10	30		0.30	0.10	0.30						
TWN	Taiwan	0.50	0.70			50	50	70		0.50	0.50	0.70						
TJK	Tajikistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
TZA	Tanzania	0.60	0.30			50	70	30		0.50	0.70	0.30						 
THA	Thailand 	0.50	0.50			50	50	50		0.50	0.50	0.50						
BHS	The Bahamas	0.60	0.90			50	70	90		0.50	0.70	0.90						
GMB	The Gambia	0.50	0.50			50	50	50		0.50	0.50	0.50						
NLD	The Netherlands	0.90	0.90			90	90	90		0.90	0.90	0.90						
PHL	The Philippines	0.50	0.30			50	50	30		0.50	0.50	0.30						
TGO	Togo	0.30	0.30			30	30	30		0.30	0.30	0.30						
TTO	Trinidad and Tobago	0.70	0.70			70	70	70		0.70	0.70	0.70						
TUN	Tunisia	0.50	0.50			50	50	50		0.50	0.50	0.50						
TUR	Turkey	0.50	0.50			50	50	50		0.50	0.50	0.50						
TKM	Turkmenistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
UGA	Uganda	0.60	0.50			50	70	50		0.50	0.70	0.50						
UKR	Ukraine	0.40	0.30			30	50	30		0.30	0.50	0.30						
ARE	United Arab Emirates	0.40	0.70			50	30	70		0.50	0.30	0.70						
GBR	United Kingdom	0.80	0.90			70	90	90		0.70	0.90	0.90						
USA	United States	0.80	0.90			70	90	90		0.70	0.90	0.90						
URY	Uruguay 	0.60	0.70			70	50	70		0.70	0.50	0.70						
UZB	Uzbekistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
VEN	Venezuela 	0.20	0.30			10	30	30		0.10	0.30	0.30						
VNM	Vietnam	0.30	0.10			30	30	10		0.30	0.30	0.10						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.50	0.50			50	50	50		0.50	0.50	0.50						
ZWE	Zimbabwe	0.10	0.10			10	10	10		0.10	0.10	0.10						


WGI2002: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
 			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
	 				Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER11RQ	HER11RL															
ALB	Albania	0.60	0.30			70	50	30		0.70	0.50	0.30						
DZA	Algeria	0.50	0.30			70	30	30		0.70	0.30	0.30						
ARG	Argentina	0.40	0.30			50	30	30		0.50	0.30	0.30						
ARM	Armenia	0.70	0.50		 	70	70	50		0.70	0.70	0.50						
AUS	Australia	0.80	0.90			70	90	90		0.70	0.90	0.90						
AUT	Austria	0.70	0.90			70	70	90		0.70	0.70	0.90						
AZE	Azerbaijan	0.30	0.30			30	30	30		0.30	0.30	0.30						
BHR	Bahrain	0.65	0.70			50	80	70		0.50	0.80	0.70						
BGD	Bangladesh 	0.40	0.30			50	30	30		0.50	0.30	0.30						
BRB	Barbados	0.60	0.90			50	70	90		0.50	0.70	0.90						
BLR	Belarus	0.30	0.30			30	30	30		0.30	0.30	0.30						
BEL	Belgium	0.80	0.90			90	70	90		0.90	0.70	0.90						
BLZ	Belize	0.50	0.50			50	50	50		0.50	0.50	0.50						
BEN	Benin	0.50	0.30			50	50	30		0.50	0.50	0.30						
BOL	Bolivia	0.80	0.30		 	90	70	30		0.90	0.70	0.30						
BIH	Bosnia and Herzegovina	0.40	0.10		 	30	50	10		0.30	0.50	0.10						
BWA	Botswana	0.70	0.70			70	70	70		0.70	0.70	0.70						
BRA	Brazil	0.50	0.50			50	50	50		0.50	0.50	0.50						
BGR	Bulgaria	0.50	0.50			50	50	50		0.50	0.50	0.50						
BFA	Burkina Faso	0.60	0.30			70	50	30		0.70	0.50	0.30						
MMR	Burma	0.20	0.10			10	30	10		0.10	0.30	0.10						
KHM	Cambodia	0.60	0.30			50	70	30		0.50	0.70	0.30						
CMR	Cameroon	0.50	0.30			50	50	30		0.50	0.50	0.30						
CAN	Canada	0.60	0.90			50	70	90		0.50	0.70	0.90						
CPV	Cape Verde	0.50	0.50			50	50	50		0.50	0.50	0.50						
CAF	Central African Republic	0.60	0.50			70	50	50		0.70	0.50	0.50						
TCD	Chad	0.60	0.30			50	70	30		0.50	0.70	0.30						
CHL	Chile	0.70	0.90			70	70	90		0.70	0.70	0.90						
CHN	China	0.30	0.30			30	30	30		0.30	0.30	0.30						
COL	Colombia	0.70	0.30			70	70	30		0.70	0.70	0.30						
CRI	Costa Rica 	0.60	0.50			70	50	50		0.70	0.50	0.50						
CIV	C̫te d'Ivoire 	0.60	0.30			50	70	30		0.50	0.70	0.30						
HRV	Croatia	0.50	0.30			50	50	30		0.50	0.50	0.30						
CUB	Cuba	0.20	0.10			30	10	10		0.30	0.10	0.10						
CYP	Cyprus	0.60	0.90			50	70	90		0.50	0.70	0.90						
CZE	Czech Republic	0.80	0.70			70	90	70		0.70	0.90	0.70						
DNK	Denmark	0.80	0.90			70	90	90		0.70	0.90	0.90						
DJI	Djibouti	0.50	0.30			50	50	30		0.50	0.50	0.30						
DOM	Dominican Republic	0.50	0.30			50	50	30		0.50	0.50	0.30						
ECU	Ecuador	0.50	0.30			50	50	30		0.50	0.50	0.30						
EGY	Egypt	0.40	0.50			50	30	50		0.50	0.30	0.50						
SLV	El Salvador 	0.70	0.50			70	70	50		0.70	0.70	0.50						
GNQ	Equatorial Guinea	0.40	0.30			50	30	30		0.50	0.30	0.30						
EST	Estonia	0.90	0.70			90	90	70		0.90	0.90	0.70						
ETH	Ethiopia	0.30	0.30			30	30	30		0.30	0.30	0.30						
FJI	Fiji	0.50	0.30			30	70	30		0.30	0.70	0.30						
FIN	Finland	0.70	0.90			70	70	90		0.70	0.70	0.90						
FRA	France	0.50	0.70			50	50	70		0.50	0.50	0.70						
GAB	Gabon	0.50	0.50			50	50	50		0.50	0.50	0.50						
GEO	Georgia	0.50	0.30			50	50	30		0.50	0.50	0.30						
DEU	Germany	0.70	0.90			90	50	90		0.90	0.50	0.90						
GHA	Ghana	0.50	0.50			50	50	50		0.50	0.50	0.50						
GRC	Greece	0.50	0.50			50	50	50		0.50	0.50	0.50						
GTM	Guatemala 	0.60	0.30			50	70	30		0.50	0.70	0.30						
GIN	Guinea	0.60	0.30			50	70	30		0.50	0.70	0.30						
GNB	Guinea-Bissau	0.30	0.10			50	10	10		0.50	0.10	0.10						
GUY	Guyana	0.50	0.50			50	50	50		0.50	0.50	0.50						
HTI	Haiti	0.40	0.10			30	50	10		0.30	0.50	0.10						
HND	Honduras 	0.50	0.50			50	50	50		0.50	0.50	0.50						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.70	0.70			70	70	70		0.70	0.70	0.70						
ISL	Iceland	0.60	0.90			70	50	90		0.70	0.50	0.90						
IND	India	0.40	0.50			50	30	50		0.50	0.30	0.50						
IDN	Indonesia	0.40	0.30			50	30	30		0.50	0.30	0.30						
IRN	Iran	0.20	0.10			30	10	10		0.30	0.10	0.10						
IRL	Ireland	0.90	0.90			90	90	90		0.90	0.90	0.90						
ISR	Israel	0.60	0.70			70	50	70		0.70	0.50	0.70						
ITA	Italy	0.70	0.70			70	70	70		0.70	0.70	0.70						
JAM	Jamaica 	0.80	0.50			90	70	50		0.90	0.70	0.50						
JPN	Japan	0.50	0.70			50	50	70		0.50	0.50	0.70						
JOR	Jordan	0.70	0.50			70	70	50		0.70	0.70	0.50						
KAZ	Kazakhstan	0.30	0.30			30	30	30		0.30	0.30	0.30						
KEN	Kenya	0.50	0.50			50	50	50		0.50	0.50	0.50						
KWT	Kuwait	0.40	0.70			30	50	70		0.30	0.50	0.70						
KGZ	Kyrgyz Republic 	0.50	0.30			50	50	30		0.50	0.50	0.30						
LAO	Laos	0.20	0.10			30	10	10		0.30	0.10	0.10						
LVA	Latvia	0.70	0.50			70	70	50		0.70	0.70	0.50						
LBN	Lebanon	0.60	0.30			50	70	30		0.50	0.70	0.30						
LSO	Lesotho	0.50	0.50			50	50	50		0.50	0.50	0.50						
LBY	Libya	0.10	0.10			10	10	10		0.10	0.10	0.10						
LTU	Lithuania	0.70	0.50			70	70	50		0.70	0.70	0.50						
LUX	Luxembourg	0.90	0.90			90	90	90		0.90	0.90	0.90						
MKD	Macedonia	0.60	0.30			50	70	30		0.50	0.70	0.30						
MDG	Madagascar	0.50	0.50			50	50	50		0.50	0.50	0.50						
MWI	Malawi	0.40	0.50			50	30	50		0.50	0.30	0.50						
MYS	Malaysia 	0.30	0.50			30	30	50		0.30	0.30	0.50						
MLI	Mali	0.50	0.50			50	50	50		0.50	0.50	0.50						
MLT	Malta	0.50	0.90			50	50	90		0.50	0.50	0.90						
MRT	Mauritania	0.70	0.30			70	70	30		0.70	0.70	0.30						
MUS	Mauritius	0.60	0.70			50	70	70		0.50	0.70	0.70						
MEX	Mexico	0.60	0.50			50	70	50		0.50	0.70	0.50						
MDA	Moldova	0.50	0.50			50	50	50		0.50	0.50	0.50						
MNG	Mongolia	0.50	0.50			50	50	50		0.50	0.50	0.50						
MAR	Morocco	0.60	0.30			70	50	30		0.70	0.50	0.30						
MOZ	Mozambique 	0.70	0.30			70	70	30		0.70	0.70	0.30						
NAM	Namibia	0.70	0.70			70	70	70		0.70	0.70	0.70						
NPL	Nepal	0.30	0.30			30	30	30		0.30	0.30	0.30						
NZL	New Zealand	0.90	0.90			90	90	90		0.90	0.90	0.90						
NIC	Nicaragua 	0.70	0.30			70	70	30		0.70	0.70	0.30						
NER	Niger	0.50	0.30			50	50	30		0.50	0.50	0.30						
NGA	Nigeria	0.40	0.30			50	30	30		0.50	0.30	0.30						
PRK	North Korea	0.10	0.10			10	10	10		0.10	0.10	0.10						
NOR	Norway	0.50	0.90			50	50	90		0.50	0.50	0.90						
OMN	Oman	0.50	0.50			50	50	50		0.50	0.50	0.50						
PAK	Pakistan 	0.50	0.30			50	50	30		0.50	0.50	0.30						
PAN	Panama 	0.80	0.30			70	90	30		0.70	0.90	0.30						
PRY	Paraguay 	0.50	0.30			50	50	30		0.50	0.50	0.30						
PER	Peru	0.70	0.30			70	70	30		0.70	0.70	0.30						
POL	Poland	0.60	0.70			50	70	70		0.50	0.70	0.70						
PRT	Portugal	0.60	0.70			70	50	70		0.70	0.50	0.70						
QAT	Qatar	0.50	0.50			50	50	50		0.50	0.50	0.50						
COG	Republic of Congo 	0.30	0.30			30	30	30		0.30	0.30	0.30						
ROM	Romania	0.50	0.30			50	50	30		0.50	0.50	0.30						
RUS	Russia	0.40	0.30			50	30	30		0.50	0.30	0.30						
RWA	Rwanda	0.40	0.30			30	50	30		0.30	0.50	0.30						
SAU	Saudi Arabia	0.40	0.50			50	30	50		0.50	0.30	0.50						
SEN	Senegal	0.50	0.50			50	50	50		0.50	0.50	0.50						
SRB	Serbia 	0.20	0.30			10	30	30		0.10	0.30	0.30						
SLE	Sierra Leone	0.30	0.10			30	30	10		0.30	0.30	0.10						
SGP	Singapore	0.80	0.90			90	70	90		0.90	0.70	0.90						
SVK	Slovakia	0.70	0.50			70	70	50		0.70	0.70	0.50						
SVN	Slovenia	0.50	0.50			50	50	50		0.50	0.50	0.50						
ZAF	South Africa	0.70	0.50			70	70	50		0.70	0.70	0.50						
KOR	South Korea	0.60	0.70			70	50	70		0.70	0.50	0.70						
ESP	Spain	0.70	0.70			70	70	70		0.70	0.70	0.70						
LKA	Sri Lanka	0.50	0.50			50	50	50		0.50	0.50	0.50						
SUR	Suriname	0.40	0.50			50	30	50		0.50	0.30	0.50						
SWZ	Swaziland	0.50	0.50			50	50	50		0.50	0.50	0.50						
SWE	Sweden	0.90	0.90			90	90	90		0.90	0.90	0.90						
CHE	Switzerland	0.80	0.90			70	90	90		0.70	0.90	0.90						
SYR	Syria	0.20	0.30			30	10	30		0.30	0.10	0.30						
TWN	Taiwan	0.60	0.70			50	70	70		0.50	0.70	0.70						
TJK	Tajikistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
TZA	Tanzania	0.50	0.30			50	50	30		0.50	0.50	0.30						 
THA	Thailand 	0.50	0.70			50	50	70		0.50	0.50	0.70						
BHS	The Bahamas	0.60	0.90			50	70	90		0.50	0.70	0.90						
GMB	The Gambia	0.50	0.50			50	50	50		0.50	0.50	0.50						
NLD	The Netherlands	0.90	0.90			90	90	90		0.90	0.90	0.90						
PHL	The Philippines	0.50	0.50			50	50	50		0.50	0.50	0.50						
TGO	Togo	0.30	0.30			30	30	30		0.30	0.30	0.30						
TTO	Trinidad and Tobago	0.70	0.70			70	70	70		0.70	0.70	0.70						
TUN	Tunisia	0.50	0.50			50	50	50		0.50	0.50	0.50						
TUR	Turkey	0.50	0.50			50	50	50		0.50	0.50	0.50						
TKM	Turkmenistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
UGA	Uganda	0.50	0.50			50	50	50		0.50	0.50	0.50						
UKR	Ukraine	0.40	0.30			30	50	30		0.30	0.50	0.30						
ARE	United Arab Emirates	0.50	0.70			50	50	70		0.50	0.50	0.70						
GBR	United Kingdom	0.80	0.90			70	90	90		0.70	0.90	0.90						
USA	United States	0.80	0.90			70	90	90		0.70	0.90	0.90						
URY	Uruguay 	0.70	0.70			70	70	70		0.70	0.70	0.70						
UZB	Uzbekistan	0.20	0.30			30	10	30		0.30	0.10	0.30						
VEN	Venezuela 	0.50	0.30			50	50	30		0.50	0.50	0.30						
VNM	Vietnam	0.30	0.10			30	30	10		0.30	0.30	0.10						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.50	0.50			50	50	50		0.50	0.50	0.50						
ZWE	Zimbabwe	0.10	0.10			10	10	10		0.10	0.10	0.10						

WGI2000: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
					Min	0	0	0		0	0	0			 			
	 				Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER11RQ	HER11RL															
ALB	Albania	0.50	0.30			70	30	30		0.70	0.30	0.30						
DZA	Algeria	0.50	0.30			50	50	30		0.50	0.50	0.30						
ARG	Argentina	0.70	0.50			70	70	50		0.70	0.70	0.50						
ARM	Armenia	0.70	0.50		 	70	70	50		0.70	0.70	0.50						
AUS	Australia	0.80	0.90			70	90	90		0.70	0.90	0.90						
AUT	Austria	0.70	0.90			70	70	90		0.70	0.70	0.90						
AZE	Azerbaijan	0.30	0.30			30	30	30		0.30	0.30	0.30						
BHR	Bahrain	0.65	0.60			50	80	60		0.50	0.80	0.60						
BGD	Bangladesh 	0.40	0.30			50	30	30		0.50	0.30	0.30						
BRB	Barbados	0.70	0.90			70	70	90		0.70	0.70	0.90						
BLR	Belarus	0.30	0.30			30	30	30		0.30	0.30	0.30						
BEL	Belgium	0.70	0.90			70	70	90		0.70	0.70	0.90						
BLZ	Belize	0.50	0.70			50	50	70		0.50	0.50	0.70						
BEN	Benin	0.50	0.30			50	50	30		0.50	0.50	0.30						
BOL	Bolivia	0.80	0.50		 	90	70	50		0.90	0.70	0.50						
BIH	Bosnia and Herzegovina	0.30	0.10		 	30	30	10		0.30	0.30	0.10						
BWA	Botswana	0.60	0.70			50	70	70		0.50	0.70	0.70						
BRA	Brazil	0.50	0.50			50	50	50		0.50	0.50	0.50						
BGR	Bulgaria	0.60	0.50			70	50	50		0.70	0.50	0.50						
BFA	Burkina Faso	0.60	0.30			70	50	30		0.70	0.50	0.30						
MMR	Burma	0.20	0.30			10	30	30		0.10	0.30	0.30						
KHM	Cambodia	0.50	0.30			50	50	30		0.50	0.50	0.30						
CMR	Cameroon	0.50	0.30			50	50	30		0.50	0.50	0.30						
CAN	Canada	0.60	0.90			50	70	90		0.50	0.70	0.90						
CPV	Cape Verde	0.50	0.70			70	30	70		0.70	0.30	0.70						
