		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
AFG	Afghanistan	0.10				10.00	10.00		0.10	0.10						
ALB	Albania	0.70				70.00	70.00		0.70	0.70						
DZA	Algeria	0.28				25.00	30.00		0.25	0.30						
AGO	Angola	0.35				30.00	40.00		0.30	0.40						
ARG	Argentina	0.58				55.00	60.00		0.55	0.60						
ARM	Armenia	0.73				75.00	70.00		0.75	0.70						
AUS	Australia	0.85				80.00	90.00		0.80	0.90						
AUT	Austria	0.80				90.00	70.00		0.90	0.70						
AZE	Azerbaijan	0.58				55.00	60.00		0.55	0.60						
BHS	Bahamas	0.53				45.00	60.00		0.45	0.60						
BHR	Bahrain	0.78				75.00	80.00		0.75	0.80						
BGD	Bangladesh	0.40				50.00	30.00		0.50	0.30						
BRB	Barbados	0.65		 		70.00	60.00		0.70	0.60						
BLR	Belarus	0.20				30.00	10.00		0.30	0.10						
BEL	Belgium	0.78		 		85.00	70.00		0.85	0.70						
BLZ	Belize	0.53				55.00	50.00		0.55	0.50						
BEN	Benin	0.65				80.00	50.00		0.80	0.50						
BTN	Bhutan	0.25				20.00	30.00		0.20	0.30						
BOL	Bolivia	0.23				5.00	40.00		0.05	0.40						
BIH	Bosnia and Herzegovina	0.63				65.00	60.00		0.65	0.60						
BWA	Botswana	0.68				65.00	70.00		0.65	0.70						
BRA	Brazil	0.50				50.00	50.00		0.50	0.50						
BGR	Bulgaria	0.65				70.00	60.00		0.70	0.60						
BFA	Burkina Faso	0.53				65.00	40.00		0.65	0.40						
MMR	Burma	0.25				30.00	20.00		0.30	0.20						
BDI	Burundi	0.43				55.00	30.00		0.55	0.30						
KHM	Cambodia	0.55				60.00	50.00		0.60	0.50						
CMR	Cameroon	0.38				25.00	50.00		0.25	0.50						
CAN	Canada	0.80				80.00	80.00		0.80	0.80						
CPV	Cape Verde	0.70				80.00	60.00		0.80	0.60						
CAF	Central African Republic	0.38				45.00	30.00		0.45	0.30						
TCD	Chad	0.50				60.00	40.00		0.60	0.40						
CHL	Chile	0.78				85.00	70.00		0.85	0.70						
CHN	China	0.23				25.00	20.00		0.25	0.20						
COL	Colombia	0.75				80.00	70.00		0.80	0.70						
COM	Comoros	0.38				45.00	30.00		0.45	0.30						
ZAR	Democratic Republic of Congo	0.25				30.00	20.00		0.30	0.20						
COG	"Congo, Republic of "	0.40				50.00	30.00		0.50	0.30						
CRI	Costa Rica 	0.60				70.00	50.00		0.70	0.50						
CIV	Cote d'Ivoire	0.63				75.00	50.00		0.75	0.50						
HRV	Croatia	0.68				75.00	60.00		0.75	0.60						
CUB	Cuba	0.10				10.00	10.00		0.10	0.10						
CYP	Cyprus	0.68				75.00	60.00		0.75	0.60						
CZE	Czech Republic	0.80				80.00	80.00		0.80	0.80						
DNK	Denmark	0.85				90.00	80.00		0.90	0.80						
DJI	Djibouti	0.65				80.00	50.00		0.80	0.50						
DMA	Dominica	0.53				75.00	30.00		0.75	0.30						
DOM	Dominican Republic	0.58				75.00	40.00		0.75	0.40						
ECU	Ecuador	0.38				35.00	40.00		0.35	0.40						
EGY	Egypt	0.55				60.00	50.00		0.60	0.50						
SLV	El Salvador 	0.70				80.00	60.00		0.80	0.60						
GNQ	Equatorial Guinea	0.35				40.00	30.00		0.40	0.30						
ERI	Eritrea	0.10				0.00	20.00		0.00	0.20						
EST	Estonia	0.85				90.00	80.00		0.90	0.80						
ETH	Ethiopia	0.28				35.00	20.00		0.35	0.20						
FJI	Fiji	0.53				55.00	50.00		0.55	0.50						
FIN	Finland	0.83				85.00	80.00		0.85	0.80						
FRA	France	0.73				75.00	70.00		0.75	0.70						
