ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 1286	1286	0	0	P	xxx	xnp	0	np	np	1	vols	"Church of England High School for Boys and Girls, Belize, British Honduras, 1898"	np	np	np	xnp	Belize	Belize	1898	np	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/84562991	3 pages ; 26 cm	xnp	xnp	###	
S 1288	1288	0	0	P	xxx	xnp	0	np	np	1	vols	"Notes on the topographical, geological and botanical maps of British Honduras"	np	np	np	Angelus Press	Belize	Belize	1898	np	K. Sapper	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/39682724	"20, vii pages pap. boards. folio"	xnp	xnp	###	
S 1290	1290	0	0	P	xxx	xnp	0	np	np	1	vols	Presbyterianism in the colonies : with special reference to the principles and influence of the Free Church of Scotland	np	np	np	Macniven & Wallace	Edinburgh	UK	1899	np	R. G. Balfour	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/17833615 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/1100180675	"xi, 341 pages ; 23 cm"	= vol xnp in series *Chalmers lectures : fifth series*	xnp	###	
S 1292	1292	0	0	P	xxx	xnp	0	np	np	1	vols	British America	np	np	np	"Kegan Paul, Trench, Trübner & Co."	London	UK	1900	np	South Place Institute	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/890737062 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/1111818136	"ix, 545, 60 p. : maps"	= vol 3 series *British empire series*	https://www.canadiana.ca/view/oocihm.00875	###	
S 1294	1294	0	0	P	xxx	xnp	0	np	np	1	vols	"Belize and the Monroe doctrine, or; Rule Britannia"	np	np	np	xnp	xnp	xnp	1901	np	F. R. Puigverver	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/47913154	8 pages ; 23 cm	xnp	xnp	###	
S 1296	1296	1	0	P	xxx	xnp	0	xxx	xxx	1	vols	"Retrenchment and reform : report of proceedings of great public meeting held in the Odd Fellows' Hall, Belize ... 1903 : also an original song by Mr. Fenwick on retrenchment and reform"	np	np	np	Thomas Fenwick	Belize	Belize	1903	np	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642483047	11 pages ; 18 cm	xnp	xnp	###	
S 1298	1298	0	0	P	xxx	xnp	0	np	np	1	vols	Yellow fever and yellow journalism : an assimilation of two diseases.	np	np	np	xnp	Belize	Belize	1906	np	J. J. Franco	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642483059	12 pages ; 23 cm	xnp	xnp	###	
S 1300	1300	0	0	P	xxx	xnp	0	np	np	1	vols	"Memorial Inscriptions and Epitaphs, Belize, British Honduras"	np	np	np	Cassell & Co.	London	UK	1907	np	J. P. Usher	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/504413652	63 pages ; 8°	xnp	xnp	###	
S 1302	1302	0	0	P	xxx	xnp	0	np	np	xxx	vols	"Business directory of manufacturers, dealers, exporters, importers and banks and bankers of New Orleans, Louisiana, and British Honduras, Guatemala, El Salvador, Spanish Honduras, Nicaragua, Costa Rica and Panama"	np	np	np	United Fruit Co.	New Orleans	USA	1908	xxx	xnp	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/12436571	xxx volumes ; 24 cm	xnp	xnp	###	
S 1304	1304	0	0	P	xxx	xnp	0	np	np	1	vols	"Guatemala and her People of To-day: being an account of the land, its history and development; the people, their customs and characteristics; to which are added chapters on British Honduras and the Republic of Honduras, with references to the other countries of Central America ... Illustrated from original and selected photographs by the author"	np	np	np	L. C. Page & Co.	Boston	USA	1909	np	N. O. Winter	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/504715234	pp. xii. 307 ; 8°	xnp	https://hdl.handle.net/2027/chi.20801570	###	
