ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 361	361	1	1	M	Tulane zzz	xnp	1	xxx	xxx	xxx	xxx	Latin American Library Special Collections	Tulane University	New Orleans	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://library.tulane.edu/locations/latin-american-library-special-collections	np	"See re collection 03 [Yucatecan Letters] Link: https://archivolal.tulane.edu/?p=collections/controlcard&id=236 / See Historical Records Survey, *An Inventory of the Collections of the Middle American Research Institute No 2 Calendar of the Yucatecan Letters* [New Orleans, Middle American Research Institute, 1939] Link: https://exploreuk.uky.edu/catalog/xt7s1r6n281t /v Bolland 2 213 no 44 / Eg Collection 50-(30) Link: https://archives.tulane.edu/repositories/8/resources/3582 / Eg Collection 50-(36) Link: https://archives.tulane.edu/repositories/8/resources/2450 / Eg Item LaRC-M-1068 Link: https://archives.tulane.edu/repositories/3/resources/437 / Eg Collection 032 Link: https://archives.tulane.edu/repositories/8/resources/2310"	xnp	###	
S 363	363	1	1	M	xxx	xnp	0	1620	2016	xxx	xxx	Book A: Surveys	UK Hydrographic Office Archive	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/r/62af0f7d-72eb-435e-8516-aac21b15ae7c / https://www.gov.uk/guidance/the-ukho-archive	np	Ref SVY Book A / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13532079	xnp	###	
S 365	365	1	1	M	xxx	xnp	0	1757	1853	xxx	xxx	Miscellaneous Papers (Remark Books)	UK Hydrographic Office Archive	Taunton	UK	np	np	np	np	np	np	np	np	np	np	xnp	http://discovery.nationalarchives.gov.uk/details/r/6d7ad44d-7bf7-4774-9d9d-0cbcbc13e9b0 / https://www.gov.uk/guidance/the-ukho-archive	np	Ref MP / Eg MP 29/11: https://discovery.nationalarchives.gov.uk/details/r/3cf0a2fc-10d6-428f-a9f1-8eeec74b228b	xnp	###	
S 367	367	1	1	M	xxx	xnp	0	1799	2009	820	feet	Church Missionary Society Archive	University of Birmingham	Birmingham	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://calmview.bham.ac.uk/Record.aspx?src=Catalog&id=XCMS / https://churchmissionsociety.org/about/our-history/archives/	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531302	xnp	###	
S 369	369	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	Bernath Memorial Collection	University of California	Santa Barbara	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.library.ucsb.edu/special-collections/rare-books/bernath-memorial-collection	np	xnp	xnp	###	
S 371	371	1	1	M	xxx	xnp	0	1682	1968	1	feet	Bryant West Indies Ephemera Collection	University of Central Florida	Orlando	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://scua.library.ucf.edu/repositories/4/resources/103	np	xnp	xnp	###	
S 373	373	1	1	M	xxx	xnp	0	1842	1843	1	items	"Personal journal of Captain Arthur Darley, R.N."	University of Delaware	Newark	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://library.udel.edu/special/findaids/view?docId=ead/mss0097_0018.xml	np	xnp	xnp	###	
S 375	375	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	"Rare Books and Manuscripts, Latin America and Caribbean Collection"	University of Florida	Gainesville	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://findingaids.uflib.ufl.edu/repositories/2/classifications/6	np	"Eg West Indies papers, 1771–1829 AG: https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/19557443"	xnp	###	
S 377	377	1	1	M	xxx	xnp	0	1660	1804	10	feet	"Charles Townshend papers (1660-1804, bulk 1748-1767)"	University of Michigan	Ann Arbor	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://quod.lib.umich.edu/c/clementsead/umich-wcl-M-1773tow?view=text	np	xnp	xnp	###	
S 379	379	1	1	M	xxx	xnp	0	1569	1758	200	items	Central American notarial documents : 1569-1758	University of Minnesota	Minneapolis	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://primo.lib.umn.edu/permalink/f/1jg5c4a/UMN_ALMA21455086360001701	np	xnp	xnp	###	
S 381	381	1	1	M	xxx	xnp	0	1881	2000	13	feet	Records of YMCA international work in Latin America	University of Minnesota	Minneapolis	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.lib.umn.edu/repositories/7/resources/981	np	xnp	xnp	###	
S 383	383	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	Baptist Missionary Society Archives	University of Oxford	Oxford	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/c/F86455 / http://theangus.rpc.ox.ac.uk/archive-search/	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a?_ref=469	xnp	###	
S 385	385	1	1	M	U Tex G19-nn	"U Tex Lib, G19-nn"	1	xxx	xxx	xxx	xxx	Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.lib.utexas.edu/about/locations/benson / https://legacy.lib.utexas.edu/taro/browse/browse_lac1.html	np	"C. E. Castañeda & J. A. Dabbs, *Guide*, [Cambridge, sn, 1939] Link: https://hdl.handle.net/2027/mdp.39015034712904"	xnp	###	
S 387	387	1	1	M	xxx	xnp	0	1848	1906	1	feet	"Dashiell, Jeremiah Yellot, papers"	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://legacy.lib.utexas.edu/taro/utcah/01833/cah-01833.html	np	xnp	xnp	###	
S 389	389	1	1	M	xxx	xnp	0	1874	1988	11	feet	Helen Madora Bisbee Papers	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://legacy.lib.utexas.edu/taro/ttusw/00146/tsw-00146.html	np	xnp	xnp	###	
S 391	391	1	1	M	xxx	xnp	0	1808	1821	23	items	Louis-Michel Aury Papers	University of Texas	Austin	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://legacy.lib.utexas.edu/taro/utcah/00809/cah-00809.html	np	xnp	xnp	###	
S 393	393	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	St. Augustine	Trinidad and Tobago	np	np	np	np	np	np	np	np	np	np	xnp	https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530503	xnp	###	
S 395	395	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	Mona	Jamaica	np	np	np	np	np	np	np	np	np	np	xnp	http://aleph-app.uwimona.edu.jm:8991/F/16Q3P26RK1AA2VMV93SI943G4M88GLX1EX29J1HIPM9S68KB23-12082?func=file&file_name=base-list	np	Inc Elsa Goveia Reading Room ? / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530151	xnp	###	
S 397	397	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados	np	np	np	np	np	np	np	np	np	np	xnp	https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	np	xnp	xnp	###	
S 399	399	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	xnp	Wellcome Library	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://wellcomecollection.org/collections	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13533000	xnp	###	
